make|model|sales
Maruti Suzuki|Fronx|{'Aug 22': 0, 'Aug 23': 12164, 'Dec 22': 0, 'Dec 23': 9692, 'Feb 23': 0, 'Feb 24': 14168, 'Jan 23': 0, 'Jan 24': 13643, 'Jul 22': 0, 'Jul 23': 13220, 'Jun 22': 0, 'Jun 23': 7991, 'Mar 23': 0, 'Mar 24': 12531, 'May 22': 0, 'May 23': 9863, 'Nov 22': 0, 'Nov 23': 9867, 'Oct 22': 0, 'Oct 23': 11357, 'Sep 22': 0, 'Sep 23': 11455}
Jeep|Grand Cherokee|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Land Rover|Range Rover Velar|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Land Rover|Range Rover Evoque|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Audi|A4|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Land Rover|Range Rover|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Land Rover|Discovery Sport|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Land Rover|Range Rover Sport|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Land Rover|Discovery|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Jeep|Wrangler|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Jeep|Compass|{'Aug 22': 921, 'Aug 23': 172, 'Dec 22': 484, 'Dec 23': 246, 'Feb 23': 406, 'Feb 24': 204, 'Jan 23': 485, 'Jan 24': 286, 'Jul 22': 710, 'Jul 23': 277, 'Jun 22': 892, 'Jun 23': 211, 'Mar 23': 395, 'Mar 24': 329, 'May 22': 928, 'May 23': 316, 'Nov 22': 550, 'Nov 23': 216, 'Oct 22': 732, 'Oct 23': 398, 'Sep 22': 609, 'Sep 23': 391}
Volkswagen|Tiguan|{'Aug 22': 155, 'Aug 23': 91, 'Dec 22': 130, 'Dec 23': 275, 'Feb 23': 93, 'Feb 24': 102, 'Jan 23': 72, 'Jan 24': 113, 'Jul 22': 124, 'Jul 23': 169, 'Jun 22': 60, 'Jun 23': 133, 'Mar 23': 132, 'Mar 24': 94, 'May 22': 54, 'May 23': 171, 'Nov 22': 76, 'Nov 23': 150, 'Oct 22': 83, 'Oct 23': 98, 'Sep 22': 123, 'Sep 23': 191}
Audi|Q3|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Audi|Q3 Sportback|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Jeep|Meridian|{'Aug 22': 400, 'Aug 23': 127, 'Dec 22': 285, 'Dec 23': 190, 'Feb 23': 313, 'Feb 24': 127, 'Jan 23': 200, 'Jan 24': 110, 'Jul 22': 440, 'Jul 23': 164, 'Jun 22': 1071, 'Jun 23': 282, 'Mar 23': 285, 'Mar 24': 96, 'May 22': 0, 'May 23': 418, 'Nov 22': 344, 'Nov 23': 101, 'Oct 22': 404, 'Oct 23': 109, 'Sep 22': 507, 'Sep 23': 90}
Land Rover|Defender|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Audi|RS Q8|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Audi|RS5|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Audi|e-tron|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Audi|Q8|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Volvo|S90|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Audi|A8L|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Volvo|XC60|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Volvo|XC90|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Volvo|XC40 Recharge|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Volvo|C40 Recharge|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Jaguar|F-Type|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Jaguar|I-Pace|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Audi|S5 Sportback|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Audi|Q5|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Jaguar|F-Pace|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Audi|Q7|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Audi|Q8 e-tron|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Porsche|Macan|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Porsche|Cayenne|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Porsche|Cayenne Coupe|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Citroen|C3|{'Aug 22': 825, 'Aug 23': 250, 'Dec 22': 913, 'Dec 23': 309, 'Feb 23': 111, 'Feb 24': 211, 'Jan 23': 788, 'Jan 24': 234, 'Jul 22': 550, 'Jul 23': 331, 'Jun 22': 60, 'Jun 23': 867, 'Mar 23': 1075, 'Mar 24': 265, 'May 22': 0, 'May 23': 600, 'Nov 22': 804, 'Nov 23': 265, 'Oct 22': 1180, 'Oct 23': 222, 'Sep 22': 1354, 'Sep 23': 179}
Citroen|eC3|{'Aug 22': 0, 'Aug 23': 271, 'Dec 22': 0, 'Dec 23': 0, 'Feb 23': 213, 'Feb 24': 83, 'Jan 23': 0, 'Jan 24': 184, 'Jul 22': 0, 'Jul 23': 49, 'Jun 22': 0, 'Jun 23': 124, 'Mar 23': 888, 'Mar 24': 530, 'May 22': 0, 'May 23': 200, 'Nov 22': 0, 'Nov 23': 18, 'Oct 22': 0, 'Oct 23': 179, 'Sep 22': 0, 'Sep 23': 166}
Lamborghini|Urus|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Citroen|C5 Aircross|{'Aug 22': 25, 'Aug 23': 4, 'Dec 22': 19, 'Dec 23': 2, 'Feb 23': 4, 'Feb 24': 0, 'Jan 23': 16, 'Jan 24': 1, 'Jul 22': 25, 'Jul 23': 8, 'Jun 22': 17, 'Jun 23': 12, 'Mar 23': 52, 'Mar 24': 0, 'May 22': 24, 'May 23': 6, 'Nov 22': 21, 'Nov 23': 5, 'Oct 22': 15, 'Oct 23': 5, 'Sep 22': 32, 'Sep 23': 3}
Porsche|Panamera|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Lamborghini|Revuelto|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Porsche|718|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BYD Auto|Atto 3|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Lamborghini|Huracan EVO|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Renault|Triber|{'Aug 22': 2667, 'Aug 23': 1821, 'Dec 22': 2203, 'Dec 23': 665, 'Feb 23': 3056, 'Feb 24': 2205, 'Jan 23': 1796, 'Jan 24': 2220, 'Jul 22': 3202, 'Jul 23': 1802, 'Jun 22': 3346, 'Jun 23': 2257, 'Mar 23': 2538, 'Mar 24': 2247, 'May 22': 2110, 'May 23': 2115, 'Nov 22': 2550, 'Nov 23': 1312, 'Oct 22': 3199, 'Oct 23': 2080, 'Sep 22': 3087, 'Sep 23': 1642}
Nissan|Magnite|{'Aug 22': 3194, 'Aug 23': 2258, 'Dec 22': 2020, 'Dec 23': 2150, 'Feb 23': 2184, 'Feb 24': 2755, 'Jan 23': 2803, 'Jan 24': 2863, 'Jul 22': 3583, 'Jul 23': 2152, 'Jun 22': 3331, 'Jun 23': 2552, 'Mar 23': 3260, 'Mar 24': 2701, 'May 22': 1920, 'May 23': 2618, 'Nov 22': 2397, 'Nov 23': 2454, 'Oct 22': 2819, 'Oct 23': 2573, 'Sep 22': 3069, 'Sep 23': 2454}
Porsche|Taycan|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Lexus|LC 500h|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Lexus|ES|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Lexus|LS 500h|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Rolls-Royce|Cullinan|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Lexus|NX|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Lexus|RX|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Lexus|LM 350h|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Mini|Cooper SE|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Rolls-Royce|Phantom|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
BYD Auto|Seal EV|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Rolls-Royce|Ghost|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Rolls-Royce|Wraith|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
